temps,Vin,Vout
0.0278,3.18712,3.91892
0.0279,3.06454,3.83157
0.028,2.93893,3.74043
0.0281,2.81042,3.64559
0.0282,2.67913,3.54717
0.0283,2.54521,3.44524
0.0284,2.40877,3.33991
0.0285,2.26995,3.23128
0.0286,2.1289,3.11947
0.0287,1.98574,3.00457
0.0288,1.84062,2.88671
0.0289,1.69369,2.76601
0.029,1.54508,2.64257
0.0291,1.39496,2.51652
0.0292,1.24345,2.388
0.0293,1.09072,2.25711
0.0294,0.936907,2.124
0.0295,0.782172,1.98879
0.0296,0.626666,1.85162
0.0297,0.470542,1.71262
0.0298,0.313953,1.57193
0.0299,0.157054,1.42969
0.03,-7.04481e-15,1.28604
0.0301,-0.157054,1.14112
0.0302,-0.313953,0.995073
0.0303,-0.470542,0.848045
0.0304,-0.626666,0.70018
0.0305,-0.782172,0.551623
0.0306,-0.936907,0.402523
0.0307,-1.09072,0.253025
0.0308,-1.24345,0.103277
0.0309,-1.39496,-0.0465725
0.031,-1.54508,-0.196376
0.0311,-1.69369,-0.345986
0.0312,-1.84062,-0.495254
0.0313,-1.98574,-0.644034
0.0314,-2.1289,-0.792178
0.0315,-2.26995,-0.93954
0.0316,-2.40877,-1.08598
0.0317,-2.54521,-1.23134
0.0318,-2.67913,-1.37549
0.0319,-2.81042,-1.51828
0.032,-2.93893,-1.65957
0.0321,-3.06454,-1.79922
0.0322,-3.18712,-1.9371
0.0323,-3.30656,-2.07307
0.0324,-3.42274,-2.20699
0.0325,-3.53553,-2.33874
0.0326,-3.64484,-2.46817
0.0327,-3.75056,-2.59517
0.0328,-3.85257,-2.71961
0.0329,-3.95078,-2.84136
0.033,-4.04508,-2.96031
0.0331,-4.1354,-3.07634
0.0332,-4.22164,-3.18933
0.0333,-4.30371,-3.29918
0.0334,-4.38153,-3.40577
0.0335,-4.45503,-3.509
0.0336,-4.52414,-3.60876
0.0337,-4.58877,-3.70497
0.0338,-4.64888,-3.79752
0.0339,-4.7044,-3.88632
0.034,-4.75528,-3.97128
0.0341,-4.80147,-4.05233
0.0342,-4.84292,-4.12937
0.0343,-4.87958,-4.20234
0.0344,-4.91144,-4.27117
0.0345,-4.93844,-4.33578
0.0346,-4.96057,-4.39611
0.0347,-4.97781,-4.4521
0.0348,-4.99013,-4.5037
0.0349,-4.99753,-4.55085
0.035,-5,-4.59351
0.0351,-4.99753,-4.63164
0.0352,-4.99013,-4.6652
0.0353,-4.97781,-4.69415
0.0354,-4.96057,-4.71847
0.0355,-4.93844,-4.73814
0.0356,-4.91144,-4.75313
0.0357,-4.87958,-4.76343
0.0358,-4.84292,-4.76902
0.0359,-4.80147,-4.76991
0.036,-4.75528,-4.7661
0.0361,-4.7044,-4.75758
0.0362,-4.64888,-4.74436
0.0363,-4.58877,-4.72646
0.0364,-4.52414,-4.7039
0.0365,-4.45503,-4.6767
0.0366,-4.38153,-4.64488
0.0367,-4.30371,-4.60848
0.0368,-4.22164,-4.56752
0.0369,-4.1354,-4.52207
0.037,-4.04508,-4.47214
0.0371,-3.95078,-4.41781
0.0372,-3.85257,-4.35911
0.0373,-3.75056,-4.29612
0.0374,-3.64484,-4.22888
0.0375,-3.53553,-4.15747
0.0376,-3.42274,-4.08196
0.0377,-3.30656,-4.00242
0.0378,-3.18712,-3.91892
0.0379,-3.06454,-3.83157
0.038,-2.93893,-3.74043
0.0381,-2.81042,-3.64559
0.0382,-2.67913,-3.54717
0.0383,-2.54521,-3.44524
0.0384,-2.40877,-3.33991
0.0385,-2.26995,-3.23128
0.0386,-2.1289,-3.11947
0.0387,-1.98574,-3.00457
0.0388,-1.84062,-2.88671
0.0389,-1.69369,-2.76601
0.039,-1.54508,-2.64257
0.0391,-1.39496,-2.51652
0.0392,-1.24345,-2.388
0.0393,-1.09072,-2.25711
0.0394,-0.936907,-2.124
0.0395,-0.782172,-1.98879
0.0396,-0.626666,-1.85162
0.0397,-0.470542,-1.71262
0.0398,-0.313953,-1.57193
0.0399,-0.157054,-1.42969
0.04,-2.44929e-15,-1.28604
0.0401,0.157054,-1.14112
0.0402,0.313953,-0.995073
0.0403,0.470542,-0.848045
0.0404,0.626666,-0.70018
0.0405,0.782172,-0.551623
0.0406,0.936907,-0.402523
0.0407,1.09072,-0.253025
0.0408,1.24345,-0.103277
0.0409,1.39496,0.0465725
0.041,1.54508,0.196376
0.0411,1.69369,0.345986
0.0412,1.84062,0.495254
0.0413,1.98574,0.644034
0.0414,2.1289,0.792178
0.0415,2.26995,0.93954
0.0416,2.40877,1.08598
0.0417,2.54521,1.23134
0.0418,2.67913,1.37549
0.0419,2.81042,1.51828
0.042,2.93893,1.65957
0.0421,3.06454,1.79922
0.0422,3.18712,1.9371
0.0423,3.30656,2.07307
0.0424,3.42274,2.20699
0.0425,3.53553,2.33874
0.0426,3.64484,2.46817
0.0427,3.75056,2.59517
0.0428,3.85257,2.71961
0.0429,3.95078,2.84136
0.043,4.04508,2.96031
0.0431,4.1354,3.07634
0.0432,4.22164,3.18933
0.0433,4.30371,3.29918
0.0434,4.38153,3.40577
0.0435,4.45503,3.509
0.0436,4.52414,3.60876
0.0437,4.58877,3.70497
0.0438,4.64888,3.79752
0.0439,4.7044,3.88632
0.044,4.75528,3.97128
0.0441,4.80147,4.05233
0.0442,4.84292,4.12937
0.0443,4.87958,4.20234
0.0444,4.91144,4.27117
0.0445,4.93844,4.33578
0.0446,4.96057,4.39611
0.0447,4.97781,4.4521
0.0448,4.99013,4.5037
0.0449,4.99753,4.55085
0.045,5,4.59351
0.0451,4.99753,4.63164
0.0452,4.99013,4.6652
0.0453,4.97781,4.69415
0.0454,4.96057,4.71847
0.0455,4.93844,4.73814
0.0456,4.91144,4.75313
0.0457,4.87958,4.76343
0.0458,4.84292,4.76902
0.0459,4.80147,4.76991
0.046,4.75528,4.7661
0.0461,4.7044,4.75758
0.0462,4.64888,4.74436
0.0463,4.58877,4.72646
0.0464,4.52414,4.7039
0.0465,4.45503,4.6767
0.0466,4.38153,4.64488
0.0467,4.30371,4.60848
0.0468,4.22164,4.56752
0.0469,4.1354,4.52207
0.047,4.04508,4.47214
0.0471,3.95078,4.41781
0.0472,3.85257,4.35911
0.0473,3.75056,4.29612
0.0474,3.64484,4.22888
0.0475,3.53553,4.15747
0.0476,3.42274,4.08196
0.0477,3.30656,4.00242
0.0478,3.18712,3.91892
0.0479,3.06454,3.83157
0.048,2.93893,3.74043
0.0481,2.81042,3.64559
0.0482,2.67913,3.54717
0.0483,2.54521,3.44524
0.0484,2.40877,3.33991
0.0485,2.26995,3.23128
0.0486,2.1289,3.11947
0.0487,1.98574,3.00457
0.0488,1.84062,2.88671
0.0489,1.69369,2.76601
0.049,1.54508,2.64257
0.0491,1.39496,2.51652
0.0492,1.24345,2.388
0.0493,1.09072,2.25711
0.0494,0.936907,2.124
0.0495,0.782172,1.98879
0.0496,0.626666,1.85162
0.0497,0.470542,1.71262
0.0498,0.313953,1.57193
0.0499,0.157054,1.42969
0.05,-5.82017e-15,1.28604
